"IDENTIFIANT";"N° FINESS/RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
;"020007282";;10;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020007290";;8;;;;;;;;;;;;;11;;;;;;;;;;;;
;"020007308";;11;;;;;;;;;;;;;11;;;;;;;;;;;;
;"020007829";;1;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020008439";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020008447";;4;;;;;;;;;;;;;;;;;;;;;;;;;
;"020008637";;1;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020008702";;4;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020008710";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020008793";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020008827";;2;;;;;;;;;;;;;;;;;;;;;;;;;
;"020009023";;4;;;;;;;;;;;;;8;;;;;;;;;;;;
;"020009072";;4;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020009114";;2;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020009197";;1;;;;;;;;;;;;;4;;;;;;;;;;;;
;"020009247";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020009411";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020009429";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020009593";;3;;;;;;;;;;;;;6;;;;;;;;;;;;
;"020009650";;;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020009932";;;;;;;;;;;;;;;3;;;;;;;;;;;;
;"020010047";;2;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020010112";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020010369";;5;;;;;;;;;;;;;2;;;;;;;;;;;;
;"020010401";;6;;;;;;;;;;;;;9;;;;;;;;;;;;
;"020010435";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020010559";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020010799";;5;;;;;;;;;;;;;8;;;;;;;;;;;;
;"020010849";;1;;;;;;;;;;;;;5;;;;;;;;;;;;
;"020010898";;1;;;;;;;;;;;;;;;;;;;;;;;;;
;"020010997";;;;;;;;;;;;;;;1;;;;;;;;;;;;
;"020011128";;;;;;;;;;;;;;;1;;;;;;;;;;;;
